id;name;description;price;image
1;Superviseur Berkshire;azure;22934;Bedfordshire knowledge haptic
2;De-engineered;deposit Coordinateur;49065;Limousin Grenade proactive
3;AI;Chili Generic Games;14734;Small withdrawal
4;purple back;Pizza b intermediate;27787;frictionless
5;Victoire;Vaugirard;62480;Shirt out-of-the-box Triple-buffered
6;Salad Chips;generating IB;56364;Haute-Normandie Bourgogne
7;a open-source;Digitized Oberkampf impactful;28047;Practical
8;content;copy;37090;best-of-breed Down-sized
9;Superviseur Loan;bypass Distributed;66465;monitor Grass-roots fuchsia
10;magenta;Laos strategic;38689;Savings
