id;name;total_price;date;status;payment_method
1;portal reboot;66933;2022-06-16;CANCELED;PAYPAL
2;Lorraine Franc upward-trending;49140;2022-06-16;WAITING;PAYPAL
3;online Auto;17935;2022-06-15;ENDED;PAYPAL
4;Outdoors Investment synergize;89808;2022-06-16;ENDED;PAYPAL
5;Îles Cotton;14645;2022-06-16;WAITING;PAYPAL
6;b deposit solid;38593;2022-06-15;IN_PROGRESS;CASH
7;a;59271;2022-06-15;IN_PROGRESS;PAYPAL
8;initiative tan;45390;2022-06-16;WAITING;CASH
9;Table impactful;73672;2022-06-16;ENDED;CASH
10;Health de Shoes;95921;2022-06-16;CANCELED;CASH
