id;name;description;price;image
1;a;framework Frozen;89532;Steel Dollar Games
2;reboot Intelligent Francs-Bourgeois;Bretagne;71454;generate navigating
3;payment;b;28746;matrix
4;asymmetric;supply-chains;85882;orchestrate payment
5;invoice Granite AI;PCI;14408;Specialiste c parse
6;Refined silver;reboot Investment;26946;Producteur
7;XSS IB b;Berkshire;32496;Metal product Soft
8;Cambridgeshire Gorgeous Frozen;Books;73022;model input Profound
9;Rubber;b;63534;Berkshire
10;Organic;c Bedfordshire Licensed;57783;Avon grey
