id;name;location_name;open;location_lat;location_lng
1;initiative;Riel projection Rubber;true;67216;78875
2;connect embrace;heuristic payment;true;22704;9502
3;Avon revolutionize Technicien;Mouse b c;true;6731;80334
4;Licensed Personal;Re-contextualized Vision-oriented;false;96541;30091
5;b;Designer;true;77717;83180
6;b;b;false;37699;54273
7;Computer Shoes;program Ameliorated quantify;true;5346;58219
8;hacking open-source;Sports Azerbaïdjan;false;98381;78089
9;methodical Bike dot-com;deposit connect;false;82444;81873
10;b du Concrete;CSS Frozen Shoes;true;97008;74962
