id;name;description;number;address
1;Croatian Saint-Honoré Cambridgeshire;c Sierra;e-markets reinvent out-of-the-box;auxiliary
2;Forint;Account;Account;b Pula leverage
3;capacitor Account sexy;web-readiness Saussaies;Account Soft;neural Investment de
4;salmon Practical;Sports;Turkménistan Ingenieur Ball;Soap Open-source Shirt
5;Aquitaine;enhance granular HDD;metrics pixel COM;XSS Alsace Pants
6;Nakfa;Executif adapter deposit;Tools b compressing;Keyboard scale haptic
7;calculate Mouse c;Health invoice Libye;Assimilated Tobago Electronics;algorithm Plastic b
8;a;Azerbaïdjan USB;Cambridgeshire Cambridgeshire bleeding-edge;olive sexy
9;Dahomey calculating;orange withdrawal Account;integrated Fish;monitor
10;visualize;teal Wooden Shilling;Games d'Alésia;application Sleek
