id;name;description;price;image
1;Steel;Consultant;57374;monetize Producteur wireless
2;Handmade;b Pound withdrawal;88209;Unbranded Soap
3;networks Metical;throughput;46442;transmitting Niger Bedfordshire
4;Malagasy intranet;neutral;4184;Business-focused
5;Rubber;aggregate a c;35518;a Sports
6;Limousin yellow Canada;Salvador;66238;Rubber Chips
7;Keyboard;d'Argenteuil black pixel;28408;optical Cheese
8;multi-byte Solférino project;Computer Alsace mobile;44109;User-friendly c navigate
9;Francs-Bourgeois Automotive;Checking system-worthy;9545;a
10;Plastic Cambridgeshire;Automotive;53352;Zimbabwe Games Balboa
