id;name;location_name;description;schedule;open;location_lat;location_lng
1;initiative;Riel projection Rubber;Tunisian connect embrace;heuristic payment;true;22704;9502
2;Avon revolutionize Technicien;Mouse b c;Computer e-markets;Dominique;true;23695;99685
3;productize Tasty Designer;transmit b transitional;grey deposit deposit;synthesizing white integrated;true;57800;5346
4;revolutionize de;Avon relationships compress;Cedi leverage Plastic;Credit;false;76058;49668
5;transparent Gold;du;Euro;c RAM;false;17730;48169
6;Account;payment;system;Account Côte deposit;true;52601;48790
7;Buckinghamshire Electronics;Cheese;Som;invoice;true;24097;90515
8;Australie de recontextualize;Bedfordshire plug-and-play;bluetooth (E.M.U.-6);Saint-Honoré Refined integrate;false;10263;49558
9;Advanced deposit Cotton;engineer;du;Midi-Pyrénées;false;96367;21168
10;technologies Centre;des primary invoice;Grocery;Soft parse;false;21976;55509
