id;nom;prix;description;image
1;conglomeration Table driver;90798;Grocery;connecting
2;SCSI Centre Avon;94621;online auxiliary;b GB
3;Enterprise-wide morph;48025;Market Soap Sausages;web-readiness
4;integrate Hat parse;64198;Practical;emulation
5;Account Buckinghamshire;75433;SMTP;Steel
6;Ball Music Granite;91660;a;synergize Savings
7;supply-chains;32056;Sports Buckinghamshire;mission-critical Soft Table
8;Chair architecture Auvergne;31911;portal Concrete;synergistic
9;Music connect;50030;invoice;ability Keyboard Loan
10;grow target;61762;withdrawal feed calculate;deposit national
